size,time
1,7e-07
2,4e-07
3,4.4e-06
4,3e-07
5,6e-07
6,8e-07
7,2e-06
8,1.2e-06
9,1.2e-06
10,1.4e-06
11,9e-07
12,1.3e-06
13,1.2e-06
14,1.4e-06
15,1.5e-06
16,1.6e-06
17,1.8e-06
18,1.7e-06
19,1.9e-06
20,1.6e-06
21,2.5e-06
22,2.2e-06
23,2.2e-06
24,2.3e-06
25,3e-06
26,3.6e-06
27,2.2e-06
28,3.2e-06
29,2.8e-06
30,3.2e-06
31,2.6e-06
32,3.3e-06
33,3.5e-06
34,3.1e-06
35,3.9e-06
36,3.8e-06
37,3.8e-06
38,5.9e-06
39,4.8e-06
40,4.3e-06
41,3.3e-06
42,5.8e-06
43,4.1e-06
44,6.2e-06
45,5.5e-06
46,5.1e-06
47,4.5e-06
48,5.8e-06
49,5.5e-06
50,7.7e-06
51,5.3e-06
52,7.1e-06
53,6.4e-06
54,5.3e-06
55,5.9e-06
56,5.3e-06
57,5.9e-06
58,7.6e-06
59,7.9e-06
60,8.2e-06
61,6.5e-06
62,7.2e-06
63,8.3e-06
64,7.9e-06
65,9.4e-06
66,1.03e-05
67,9.4e-06
68,1.01e-05
69,1.27e-05
70,9.5e-06
71,9.1e-06
72,1.23e-05
73,9.4e-06
74,1.06e-05
75,9.8e-06
76,1.08e-05
77,1.06e-05
78,1.09e-05
79,1.2e-05
80,9.9e-06
81,1.18e-05
82,1.4e-05
83,4.31e-05
84,1.49e-05
85,1.25e-05
86,1.47e-05
87,1.65e-05
88,1.33e-05
89,1.44e-05
90,1.32e-05
91,1.31e-05
92,4.77e-05
93,1.46e-05
94,1.33e-05
95,1.51e-05
96,1.64e-05
97,1.36e-05
98,1.55e-05
99,1.74e-05
100,1.53e-05
101,2.23e-05
102,1.68e-05
103,1.82e-05
104,2.12e-05
105,1.93e-05
106,1.7e-05
107,1.91e-05
108,1.77e-05
109,2.21e-05
110,2.06e-05
111,2.04e-05
112,1.95e-05
113,2.24e-05
114,2.21e-05
115,2.59e-05
116,1.74e-05
117,1.69e-05
118,2.32e-05
119,2.05e-05
120,3.44e-05
121,2.62e-05
122,2.32e-05
123,2.21e-05
124,1.75e-05
125,2.09e-05
126,2.36e-05
127,3.29e-05
128,3.53e-05
129,3.51e-05
130,2.43e-05
131,2.59e-05
132,2.63e-05
133,2.41e-05
134,2.95e-05
135,2.71e-05
136,2.76e-05
137,2.76e-05
138,2.3e-05
139,2.3e-05
140,3.21e-05
141,3.26e-05
142,5.24e-05
143,2.25e-05
144,2.91e-05
145,3.12e-05
146,3.14e-05
147,4.24e-05
148,4.69e-05
149,2.91e-05
150,3.81e-05
151,2.35e-05
152,3.26e-05
153,7.67e-05
154,4.46e-05
155,2.56e-05
156,2.49e-05
157,3.88e-05
158,7.85e-05
159,3.52e-05
160,4.31e-05
161,3.86e-05
162,5.73e-05
163,6.02e-05
164,3.17e-05
165,3.41e-05
166,3.35e-05
167,3.67e-05
168,3.17e-05
169,5.88e-05
170,4.36e-05
171,4.22e-05
172,3.82e-05
173,4.55e-05
174,4.5e-05
175,7.58e-05
176,4.84e-05
177,4.55e-05
178,5e-05
179,4.78e-05
180,5.29e-05
181,4.9e-05
182,0.000118
183,5.45e-05
184,0.0001296
185,4.8e-05
186,5.81e-05
187,5.59e-05
188,5.47e-05
189,6.73e-05
190,5.17e-05
191,5.28e-05
192,4.99e-05
193,4.86e-05
194,3.8e-05
195,5.37e-05
196,6.46e-05
197,4.37e-05
198,5.24e-05
199,5.4e-05
200,4.94e-05
201,3.93e-05
202,8.95e-05
203,5.63e-05
204,6.37e-05
205,5.49e-05
206,5.22e-05
207,5.61e-05
208,7.75e-05
209,5.7e-05
210,6.04e-05
211,4.87e-05
212,7.9e-05
213,5.37e-05
214,6.45e-05
215,6.61e-05
216,6.33e-05
217,8.84e-05
218,8.06e-05
219,5.88e-05
220,6.43e-05
221,7.35e-05
222,0.0003021
223,5.77e-05
224,9.18e-05
225,7.23e-05
226,6.35e-05
227,7.14e-05
228,6.6e-05
229,7.21e-05
230,0.0001026
231,0.0001254
232,7.92e-05
233,0.0001417
234,6.69e-05
235,9.6e-05
236,9.99e-05
237,9.52e-05
238,6.94e-05
239,7.18e-05
240,6.79e-05
241,9.31e-05
242,7.06e-05
243,5.13e-05
244,0.0001725
245,7.33e-05
246,7.82e-05
247,8.3e-05
248,8.65e-05
249,0.0002394
250,0.000109
251,8.23e-05
252,9.35e-05
253,8.38e-05
254,9.71e-05
255,9e-05
256,8.09e-05
257,9.18e-05
258,9.08e-05
259,9.66e-05
260,7.35e-05
261,9.7e-05
262,8.94e-05
263,0.0001081
264,0.0001028
265,0.000126
266,8.39e-05
267,7.93e-05
268,9.23e-05
269,0.0001209
270,0.0001232
271,7.54e-05
272,0.0001774
273,0.000158
274,8.97e-05
275,7.05e-05
276,0.0001291
277,9.14e-05
278,9.96e-05
279,0.0001036
280,6.74e-05
281,9.03e-05
282,6.74e-05
283,0.0001046
284,9.4e-05
285,0.0001069
286,9.7e-05
287,0.0001364
288,0.0001392
289,9.3e-05
290,0.0001163
291,7.41e-05
292,8.29e-05
293,9.54e-05
294,0.0001495
295,0.0001308
296,8.23e-05
297,0.0001149
298,0.0001074
299,0.0001081
300,0.0001418
301,0.0001221
302,0.0001238
303,0.0001105
304,0.0001728
305,0.0001505
306,0.0002559
307,0.0001121
308,0.0001255
309,9.76e-05
310,8.01e-05
311,0.0001227
312,0.0001597
313,0.0001252
314,0.0001709
315,0.0001129
316,0.0001476
317,0.0001205
318,0.0001477
319,0.0001102
320,0.000209
321,0.0001348
322,0.0001719
323,0.0001763
324,0.0001206
325,0.0001285
326,0.0001599
327,0.0001704
328,0.0001653
329,0.0001314
330,0.0001354
331,0.0001167
332,0.0001264
333,0.0001205
334,0.000113
335,0.0001434
336,0.0001286
337,0.000131
338,0.0001361
339,0.0002103
340,0.0001368
341,0.0001057
342,0.0001531
343,0.0001278
344,0.0001196
345,0.0001352
346,0.0001529
347,0.0001309
348,0.0001123
349,0.0001441
350,0.000105
351,0.0001424
352,0.0001134
353,0.0001179
354,0.0001396
355,0.0001699
356,0.0001038
357,0.0002113
358,0.0001555
359,0.0001482
360,0.0001435
361,0.0002124
362,0.0002721
363,0.0001498
364,0.0001319
365,0.0001054
366,0.0001508
367,0.000292
368,0.0001536
369,0.0001169
370,0.0001567
371,0.000171
372,0.0002242
373,0.0002261
374,0.0001651
375,0.0002351
376,0.0001663
377,0.0001656
378,0.0001716
379,0.0001451
380,0.0001686
381,0.0002134
382,0.0001751
383,0.000279
384,0.0002178
385,0.0001326
386,0.0002188
387,0.0001775
388,0.0001443
389,0.000139
390,0.0001728
391,0.0001609
392,0.0002356
393,0.0001772
394,0.0001759
395,0.0002355
396,0.0002725
397,0.0001522
398,0.0002628
399,0.0002102
400,0.0001779
401,0.0001238
402,0.0001763
403,0.0002236
404,0.0001371
405,0.0002347
406,0.0001598
407,0.0001846
408,0.0002455
409,0.0001959
410,0.0002613
411,0.0002459
412,0.0002261
413,0.0002172
414,0.0002012
415,0.0002239
416,0.0002845
417,0.0002194
418,0.0002831
419,0.0001645
420,0.0001437
421,0.0001466
422,0.0002056
423,0.0002002
424,0.0002009
425,0.0002225
426,0.0002296
427,0.0003324
428,0.0001954
429,0.0002687
430,0.000155
431,0.0002039
432,0.0002602
433,0.0001946
434,0.0002848
435,0.0003024
436,0.0003818
437,0.0002413
438,0.000289
439,0.0002014
440,0.0001723
441,0.0002153
442,0.0001766
443,0.0003094
444,0.000179
445,0.0001958
446,0.0001875
447,0.0003149
448,0.0001794
449,0.000159
450,0.0002222
451,0.0002357
452,0.0002503
453,0.0003334
454,0.0003496
455,0.0002801
456,0.0002973
457,0.0003111
458,0.0003221
459,0.0001594
460,0.0001823
461,0.000229
462,0.0001785
463,0.0002302
464,0.0002301
465,0.0002135
466,0.0001879
467,0.0004108
468,0.0003357
469,0.0002386
470,0.0003158
471,0.0002451
472,0.0002433
473,0.0002429
474,0.0002747
475,0.0002566
476,0.0004017
477,0.0002301
478,0.0002562
479,0.0002343
480,0.0003518
481,0.0002752
482,0.0001984
483,0.0002455
484,0.0002751
485,0.0006943
486,0.0002678
487,0.0003284
488,0.000358
489,0.000348
490,0.0002665
491,0.0006188
492,0.0004074
493,0.0003158
494,0.0003154
495,0.0004058
496,0.0005166
497,0.0003304
498,0.0002804
499,0.000278
500,0.0002115
501,0.0006266
502,0.0002484
503,0.0002444
504,0.000366
505,0.0002437
506,0.000318
507,0.0002216
508,0.0002458
509,0.00025
510,0.0002342
511,0.0002472
512,0.0004406
513,0.0002073
514,0.0004818
515,0.0003166
516,0.0002447
517,0.0003288
518,0.0003572
519,0.0004495
520,0.000384
521,0.0004132
522,0.0003292
523,0.0003359
524,0.0003401
525,0.0003579
526,0.0003052
527,0.0003825
528,0.0003711
529,0.0002839
530,0.0003609
531,0.00041
532,0.0003823
533,0.0004789
534,0.0003837
535,0.0003887
536,0.0004556
537,0.0003934
538,0.0004186
539,0.0003626
540,0.0003951
541,0.0004048
542,0.0003467
543,0.0003684
544,0.000401
545,0.0003327
546,0.0004026
547,0.0004816
548,0.000426
549,0.0003453
550,0.0003736
551,0.0002957
552,0.0003938
553,0.0003729
554,0.0003988
555,0.0003623
556,0.0004124
557,0.0004775
558,0.0003973
559,0.0003919
560,0.0003428
561,0.0004762
562,0.0004428
563,0.0004089
564,0.0004077
565,0.0004954
566,0.0003883
567,0.0004899
568,0.0004843
569,0.0004379
570,0.000488
571,0.0004697
572,0.0004879
573,0.000465
574,0.0004386
575,0.0003505
576,0.000392
577,0.0003261
578,0.0005756
579,0.0003722
580,0.0006007
581,0.0004599
582,0.0004903
583,0.0003534
584,0.0003549
585,0.0003335
586,0.0003745
587,0.000372
588,0.0004934
589,0.0003999
590,0.0003812
591,0.0004254
592,0.0004134
593,0.0004911
594,0.0004366
595,0.000565
596,0.0003769
597,0.0004597
598,0.0003629
599,0.0003802
600,0.000507
601,0.0003903
602,0.0003177
603,0.0004431
604,0.0004482
605,0.0004247
606,0.0002807
607,0.0005654
608,0.0003933
609,0.0005307
610,0.0004537
611,0.0004362
612,0.0005485
613,0.0004681
614,0.0004266
615,0.0004914
616,0.0004758
617,0.00052
618,0.0005557
619,0.0003023
620,0.0004234
621,0.0004127
622,0.0004945
623,0.0004052
624,0.0004979
625,0.0007503
626,0.000383
627,0.0004842
628,0.0005308
