size,time
1,2e-07
2,2e-07
3,2e-07
4,3e-07
5,3e-07
6,5e-07
7,5e-07
8,7e-07
9,7e-07
10,8e-07
11,9e-07
12,9e-07
13,1.4e-06
14,1.2e-06
15,1.3e-06
16,1.2e-06
17,1e-06
18,1.6e-06
19,1.6e-06
20,1.4e-06
21,1.7e-06
22,1.8e-06
23,2e-06
24,1.9e-06
25,2.3e-06
26,2.8e-06
27,2.2e-06
28,2.8e-06
29,3e-06
30,3e-06
31,3.2e-06
32,2.8e-06
33,3.3e-06
34,3.06e-05
35,1.03e-05
36,3.3e-06
37,3.7e-06
38,4.1e-06
39,3.4e-06
40,4.5e-06
41,4.3e-06
42,4.6e-06
43,3.9e-06
44,5.7e-06
45,4.5e-06
46,4.7e-06
47,1.94e-05
48,2.12e-05
49,5.5e-06
50,4.8e-06
51,6.2e-06
52,1.26e-05
53,6.5e-06
54,5.8e-06
55,5.4e-06
56,6.1e-06
57,6.2e-06
58,6.7e-06
59,1.6e-05
60,7e-06
61,8.2e-06
62,2.03e-05
63,7.3e-06
64,8.1e-06
65,7.9e-06
66,6.4e-06
67,9.9e-06
68,1.04e-05
69,1e-05
70,7.8e-06
71,9.6e-06
72,9.7e-06
73,9e-06
74,9.3e-06
75,1.17e-05
76,1.14e-05
77,2.27e-05
78,1.02e-05
79,1.26e-05
80,1.14e-05
81,1.16e-05
82,9.2e-06
83,7.57e-05
84,1.21e-05
85,3.85e-05
86,1.17e-05
87,1.4e-05
88,1.23e-05
89,1.28e-05
90,1.53e-05
91,2.49e-05
92,1.37e-05
93,1.71e-05
94,1.44e-05
95,1.62e-05
96,1.73e-05
97,2.67e-05
98,1.45e-05
99,1.5e-05
100,1.79e-05
101,1.28e-05
102,1.73e-05
103,1.74e-05
104,1.52e-05
105,1.76e-05
106,1.67e-05
107,1.57e-05
108,1.83e-05
109,1.71e-05
110,1.71e-05
111,1.86e-05
112,1.76e-05
113,1.77e-05
114,1.59e-05
115,3.46e-05
116,4.53e-05
117,1.94e-05
118,1.89e-05
119,2.11e-05
120,2.06e-05
121,1.94e-05
122,2.06e-05
123,2.09e-05
124,2.14e-05
125,3.78e-05
126,9.23e-05
127,2.06e-05
128,2.34e-05
129,2.02e-05
130,2.41e-05
131,2.26e-05
132,4.11e-05
133,2.34e-05
134,2.5e-05
135,3.99e-05
136,3.78e-05
137,3.33e-05
138,2.38e-05
139,2.45e-05
140,2.59e-05
141,2.4e-05
142,2.35e-05
143,2.39e-05
144,2.51e-05
145,3.56e-05
146,2.77e-05
147,2.64e-05
148,2.44e-05
149,2.5e-05
150,2.82e-05
151,2.62e-05
152,2.89e-05
153,4.66e-05
154,4.26e-05
155,4.31e-05
156,2.89e-05
157,2.74e-05
158,2.73e-05
159,4.2e-05
160,2.83e-05
161,3.1e-05
162,4.15e-05
163,5.88e-05
164,4.79e-05
165,4.1e-05
166,4.66e-05
167,3.27e-05
168,3.18e-05
169,3.22e-05
170,3.04e-05
171,5.09e-05
172,3.83e-05
173,3.19e-05
174,3.19e-05
175,3.52e-05
176,3.76e-05
177,0.0001133
178,3.61e-05
179,5.46e-05
180,5.32e-05
181,3.44e-05
182,3.71e-05
183,3.53e-05
184,3.63e-05
185,3.79e-05
186,5.3e-05
187,7.35e-05
188,5.49e-05
189,4.07e-05
190,3.36e-05
191,3.78e-05
192,3.56e-05
193,3.69e-05
194,3.92e-05
195,4.21e-05
196,3.91e-05
197,4.46e-05
198,3.67e-05
199,5.49e-05
200,5.13e-05
201,4.82e-05
202,4.31e-05
203,4.96e-05
204,6.17e-05
205,0.0001044
206,4.33e-05
207,4.14e-05
208,4.22e-05
209,5.39e-05
210,6.26e-05
211,4.28e-05
212,6.54e-05
213,6.5e-05
214,4.5e-05
215,4.91e-05
216,4.5e-05
217,4.45e-05
218,4.67e-05
219,4.74e-05
220,7.23e-05
221,6.79e-05
222,5.2e-05
223,5.13e-05
224,5.24e-05
225,4.9e-05
226,5.11e-05
227,5.38e-05
228,5.14e-05
229,0.000102
230,9.47e-05
231,5.19e-05
232,5.34e-05
233,5.36e-05
234,5.08e-05
235,5.3e-05
236,5.1e-05
237,5.22e-05
238,7.86e-05
239,5.74e-05
240,8.82e-05
241,7.96e-05
242,6.25e-05
243,5.64e-05
244,6.13e-05
245,5.55e-05
246,5.73e-05
247,7.14e-05
248,0.0001127
249,5.35e-05
250,9.39e-05
251,5.97e-05
252,6.63e-05
253,7.48e-05
254,7.48e-05
255,0.0001093
256,9.23e-05
257,8.76e-05
258,8.88e-05
259,5.65e-05
260,7.69e-05
261,6.8e-05
262,6.54e-05
263,9.77e-05
264,0.0001163
265,6.8e-05
266,0.0001218
267,7.56e-05
268,7.77e-05
269,9.6e-05
270,0.00014
271,0.0001131
272,9.16e-05
273,6.16e-05
274,0.0001074
275,7.29e-05
276,0.0001458
277,8.2e-05
278,7.67e-05
279,8.19e-05
280,8.7e-05
281,8.4e-05
282,8.36e-05
283,0.000129
284,0.0001351
285,8.22e-05
286,9.62e-05
287,9.76e-05
288,8.13e-05
289,0.0001314
290,0.0001174
291,9.39e-05
292,7.15e-05
293,9.63e-05
294,6.87e-05
295,7.37e-05
296,7.73e-05
297,9.18e-05
298,0.0001037
299,0.0001053
300,8.56e-05
301,9.64e-05
302,8.4e-05
303,7.39e-05
304,8.21e-05
305,7.93e-05
306,8.04e-05
307,8.91e-05
308,9.71e-05
309,9.15e-05
310,8.61e-05
311,8.41e-05
312,8.96e-05
313,7.86e-05
314,8.48e-05
315,0.0001025
316,9.42e-05
317,8.93e-05
318,9.79e-05
319,9.1e-05
320,9.26e-05
321,9.5e-05
322,8.77e-05
323,0.0001257
324,0.0001074
325,9.09e-05
326,8.86e-05
327,0.000114
328,9.99e-05
329,0.0001012
330,0.0001004
331,9.01e-05
332,9.12e-05
333,0.0001701
334,8.7e-05
335,9.21e-05
336,9.18e-05
337,0.0001442
338,9.94e-05
339,9.13e-05
340,0.000125
341,0.000117
342,9.47e-05
343,0.0001088
344,0.000103
345,9.69e-05
346,9.65e-05
347,8.96e-05
348,0.0001538
349,0.0001187
350,0.0001231
351,0.0001065
352,0.0001133
353,9.82e-05
354,0.0001784
355,0.000101
356,0.0001062
357,0.0001482
358,0.0001149
359,0.0001104
360,0.0001031
361,0.0001022
362,0.0001113
363,0.00012
364,0.0001352
365,0.0003853
366,0.0001374
367,0.0001335
368,0.0001097
369,0.0001115
370,0.0001103
371,0.0001555
372,0.0001508
373,0.0001297
374,0.0001284
375,0.0001313
376,0.0001192
377,0.0001141
378,0.000154
379,0.0002064
380,0.0001339
381,0.000128
382,0.0001773
383,0.0001513
384,0.0001449
385,0.0001731
386,0.0001736
387,0.0001882
388,0.0001507
389,0.0001184
390,0.0001276
391,0.0002266
392,0.0001224
393,0.0001229
394,0.0001209
395,0.0001573
396,0.0001924
397,0.000125
398,0.0001691
399,0.000156
400,0.0001235
401,0.0001254
402,0.0001233
403,0.0001269
404,0.000164
405,0.0001707
406,0.0001443
407,0.0002183
408,0.0001297
409,0.0001358
410,0.0001297
411,0.0001359
412,0.0001257
413,0.0001627
414,0.0002191
415,0.0001325
416,0.000155
417,0.0001383
418,0.0001442
419,0.0001519
420,0.0001924
421,0.0001445
422,0.0001414
423,0.0001367
424,0.000142
425,0.000139
426,0.0001762
427,0.0002512
428,0.0001371
429,0.0001692
430,0.0001589
431,0.0001362
432,0.0001379
433,0.0001378
434,0.0001347
435,0.0001532
436,0.0001875
437,0.0001451
438,0.000143
439,0.0001394
440,0.0002284
441,0.0001451
442,0.0001384
443,0.0002108
444,0.0001451
445,0.0001433
446,0.0001427
447,0.0001413
448,0.0001513
449,0.000146
450,0.0001445
451,0.0002183
452,0.0001807
453,0.0002082
454,0.0001618
455,0.0001626
456,0.0001636
457,0.0002779
458,0.0002252
459,0.0002371
460,0.000162
461,0.000157
462,0.0001572
463,0.0001576
464,0.000168
465,0.0001829
466,0.0002626
467,0.0001585
468,0.0001691
469,0.0001577
470,0.0001728
471,0.0001857
472,0.0001694
473,0.0002187
474,0.0002204
475,0.0002315
476,0.00016
477,0.0001777
478,0.000163
479,0.0001652
480,0.0001679
481,0.0001714
482,0.0003343
483,0.0001853
484,0.000206
485,0.0002004
486,0.0002047
487,0.0003241
488,0.0002595
489,0.0002526
490,0.0002543
491,0.0002627
492,0.0004837
493,0.0002462
494,0.0002618
495,0.0002666
496,0.0003857
497,0.0002764
498,0.0001956
499,0.0002213
500,0.0001858
501,0.0002196
502,0.0002342
503,0.000241
504,0.0001998
505,0.0001957
506,0.0001807
507,0.0002253
508,0.000226
509,0.0002409
510,0.000192
511,0.0002758
512,0.0001908
513,0.0002108
514,0.0001876
515,0.0001873
516,0.0003373
517,0.0005668
518,0.0001856
519,0.0001827
520,0.0001916
521,0.0001997
522,0.0002241
523,0.0002392
524,0.0002332
525,0.0001869
526,0.000185
527,0.0001873
528,0.0002088
529,0.0002379
530,0.0001998
531,0.0002855
532,0.0002128
533,0.0002333
534,0.0001986
535,0.0002069
536,0.0001937
537,0.0001989
538,0.0001976
539,0.0002559
540,0.0002392
541,0.0002025
542,0.0002222
543,0.0002137
544,0.0002157
545,0.0002203
546,0.0004628
547,0.0002712
548,0.000222
549,0.0002354
550,0.000418
551,0.0003458
552,0.0002488
553,0.0002105
554,0.0002375
555,0.0002174
556,0.0003481
557,0.0004198
558,0.0002311
559,0.000226
560,0.0002297
561,0.0003134
562,0.0002286
563,0.0002443
564,0.000289
565,0.0002343
566,0.000231
567,0.0002385
568,0.0002419
569,0.0002549
570,0.0003099
571,0.0002261
572,0.0002313
573,0.000261
574,0.0002297
575,0.0002325
576,0.000278
577,0.0003018
578,0.0003795
579,0.0002201
